epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,3609.5,1.29092,1.28739,1.45843,0.67446,0.70466,0.72065,0.471,1.18965,1.10955,1.36921,0.0005942,0.0005942,0.0005942
73,3664.15,1.29996,1.26723,1.45032,0.71827,0.67818,0.73245,0.47533,1.21321,1.08496,1.37178,0.0005744,0.0005744,0.0005744
74,3716.41,1.28493,1.28241,1.44487,0.70037,0.66955,0.72802,0.47414,1.19337,1.10567,1.35841,0.0005546,0.0005546,0.0005546
75,3770.61,1.27684,1.28171,1.43848,0.72213,0.65227,0.73022,0.47834,1.18025,1.09328,1.35827,0.0005348,0.0005348,0.0005348
76,3822,1.28561,1.2717,1.44712,0.72971,0.66264,0.73967,0.48833,1.18704,1.06369,1.35134,0.000515,0.000515,0.000515
77,3875.34,1.28315,1.26154,1.43333,0.73328,0.66609,0.74171,0.47995,1.21631,1.06445,1.36124,0.0004952,0.0004952,0.0004952
78,3927.97,1.27755,1.26878,1.4391,0.72633,0.66091,0.7442,0.49029,1.18827,1.04972,1.34891,0.0004754,0.0004754,0.0004754
79,3980.14,1.25936,1.24657,1.41885,0.72056,0.66206,0.73561,0.4839,1.17431,1.06135,1.35607,0.0004556,0.0004556,0.0004556
80,4032.76,1.2701,1.24335,1.42834,0.73768,0.67818,0.7539,0.49333,1.18791,1.04999,1.35809,0.0004358,0.0004358,0.0004358
81,4085.5,1.24376,1.22834,1.41597,0.71501,0.68566,0.73876,0.48519,1.16408,1.06031,1.35079,0.000416,0.000416,0.000416
82,4138,1.25461,1.2302,1.41604,0.72005,0.66782,0.74118,0.49025,1.18626,1.05127,1.35599,0.0003962,0.0003962,0.0003962
83,4190.97,1.25687,1.22465,1.42455,0.75758,0.66321,0.74928,0.49812,1.16552,1.03576,1.33648,0.0003764,0.0003764,0.0003764
84,4243.31,1.23092,1.21003,1.39922,0.72214,0.67127,0.75135,0.4988,1.17464,1.03983,1.34721,0.0003566,0.0003566,0.0003566
85,4295.24,1.24093,1.20461,1.39921,0.74404,0.65861,0.7521,0.50247,1.15455,1.03051,1.33875,0.0003368,0.0003368,0.0003368
86,4347.54,1.23834,1.21009,1.40585,0.76663,0.65112,0.75441,0.50116,1.15533,1.03085,1.33283,0.000317,0.000317,0.000317
87,4400.69,1.23081,1.20368,1.39984,0.74137,0.66672,0.75761,0.50838,1.15505,1.01611,1.32656,0.0002972,0.0002972,0.0002972
88,4454.19,1.23367,1.20004,1.40254,0.73175,0.67588,0.75551,0.50105,1.16842,1.014,1.34442,0.0002774,0.0002774,0.0002774
89,4507.32,1.21591,1.18588,1.38735,0.70375,0.69488,0.75477,0.50341,1.14707,1.01747,1.33511,0.0002576,0.0002576,0.0002576
90,4561.37,1.2318,1.19559,1.3991,0.73098,0.67185,0.75295,0.50784,1.14249,1.01703,1.32553,0.0002378,0.0002378,0.0002378
91,4614.23,1.19567,1.08978,1.38979,0.71769,0.67909,0.74852,0.48803,1.19038,1.04075,1.35253,0.000218,0.000218,0.000218
92,4664.81,1.14746,1.03265,1.3487,0.73095,0.67876,0.75693,0.49936,1.17221,1.02847,1.34984,0.0001982,0.0001982,0.0001982
93,4716.65,1.15233,1.03943,1.35455,0.73304,0.66667,0.75918,0.50575,1.17314,1.02033,1.35028,0.0001784,0.0001784,0.0001784
94,4769.1,1.13063,1.00977,1.3415,0.74038,0.66379,0.7562,0.5044,1.18257,1.0111,1.34727,0.0001586,0.0001586,0.0001586
95,4822.7,1.12474,1.0291,1.33487,0.72445,0.69172,0.75886,0.50517,1.17501,1.01593,1.34331,0.0001388,0.0001388,0.0001388
96,4874.74,1.12007,1.01117,1.32971,0.75546,0.65573,0.75831,0.50456,1.17006,1.01698,1.33578,0.000119,0.000119,0.000119
97,4925.9,1.12806,1.00011,1.33538,0.75105,0.66552,0.7604,0.50744,1.17497,1.00697,1.33824,9.92e-05,9.92e-05,9.92e-05
98,4978.75,1.11293,0.9745,1.32569,0.7115,0.70063,0.76307,0.50994,1.15998,0.99964,1.33499,7.94e-05,7.94e-05,7.94e-05
99,5031.61,1.11877,0.97854,1.33138,0.72861,0.69315,0.75924,0.50919,1.16946,1.00598,1.33745,5.96e-05,5.96e-05,5.96e-05
100,5083.62,1.11175,0.98082,1.32625,0.74566,0.66955,0.76237,0.5134,1.15899,0.99914,1.3321,3.98e-05,3.98e-05,3.98e-05
